index,influence,race,age,gender,file_path
8421,-0.02948557212948799,2,-1,-1,crop_part1\6_1_2_20161219153411316.jpg.chip.jpg
1614,-0.002369651570916176,2,-1,-1,crop_part1\1_0_2_20161219212824950.jpg.chip.jpg
7145,0.35583221912384033,2,-1,-1,crop_part1\55_0_2_20170104023159589.jpg.chip.jpg
2423,-3.2344956398010254,4,-1,-1,crop_part1\20_1_4_20170103223401848.jpg.chip.jpg
4573,-7.411553382873535,4,-1,-1,crop_part1\32_0_4_20170104000716333.jpg.chip.jpg
7791,0.627431333065033,0,-1,-1,crop_part1\60_1_0_20170110143505801.jpg.chip.jpg
4679,-0.0004892350407317281,0,-1,-1,crop_part1\33_0_0_20170105165028532.jpg.chip.jpg
3527,-0.03174976259469986,3,-1,-1,crop_part1\27_1_3_20170104223400455.jpg.chip.jpg
737,1.6595316992606968e-05,0,-1,-1,crop_part1\16_0_0_20170110232141846.jpg.chip.jpg
8740,-5.801018778583966e-05,0,-1,-1,crop_part1\75_1_0_20170110184033219.jpg.chip.jpg
9,-2.9351744160521775e-05,0,-1,-1,crop_part1\10_0_0_20170110220033115.jpg.chip.jpg
3266,0.001425673719495535,0,-1,-1,crop_part1\26_1_0_20170103235707476.jpg.chip.jpg
5168,-12.963556289672852,4,-1,-1,crop_part1\38_0_4_20170109013315959.jpg.chip.jpg
7080,-1.8411357402801514,3,-1,-1,crop_part1\54_0_3_20170111202045698.jpg.chip.jpg
618,0.00045221822801977396,0,-1,-1,crop_part1\15_1_0_20170109214319385.jpg.chip.jpg
5392,0.3010967969894409,0,-1,-1,crop_part1\3_0_0_20170110213243664.jpg.chip.jpg
3321,6.413414478302002,2,-1,-1,crop_part1\26_1_2_20170105163951372.jpg.chip.jpg
1387,-0.013087857514619827,2,-1,-1,crop_part1\1_0_2_20161219141023272.jpg.chip.jpg
7580,-4.8777570724487305,3,-1,-1,crop_part1\5_0_3_20161220222940507.jpg.chip.jpg
7228,5.261148452758789,3,-1,-1,crop_part1\56_0_3_20170109142456550.jpg.chip.jpg
4420,-1.1140179634094238,3,-1,-1,crop_part1\30_1_3_20170104235553643.jpg.chip.jpg
2862,0.0002463847631588578,0,-1,-1,crop_part1\24_1_0_20170104022030117.jpg.chip.jpg
9558,0.610276997089386,2,-1,-1,crop_part1\90_0_2_20170111223901221.jpg.chip.jpg
7871,0.04998895153403282,0,-1,-1,crop_part1\61_1_0_20170109150858084.jpg.chip.jpg
9497,-0.00018321696552447975,3,-1,-1,crop_part1\8_1_3_20170104221914568.jpg.chip.jpg
3349,-0.00048708764370530844,3,-1,-1,crop_part1\26_1_3_20170104222850687.jpg.chip.jpg
6289,0.07942088693380356,0,-1,-1,crop_part1\49_1_0_20170109141328213.jpg.chip.jpg
6724,-0.0002991239307448268,0,-1,-1,crop_part1\51_1_0_20170104212206804.jpg.chip.jpg
2621,7.860652658564504e-06,0,-1,-1,crop_part1\22_1_0_20170105002545990.jpg.chip.jpg
1570,-0.001158576225861907,2,-1,-1,crop_part1\1_0_2_20161219204634589.jpg.chip.jpg
6574,-2.1302998065948486,4,-1,-1,crop_part1\4_1_4_20170103213350292.jpg.chip.jpg
4288,-8.043807983398438,4,-1,-1,crop_part1\2_1_4_20161221201536537.jpg.chip.jpg
